thr,TN,FP,FN,TP,FP_plus_FN
0.228,93,258,8,514,266
0.23,93,258,8,514,266
0.232,95,256,9,513,265
0.234,96,255,9,513,264
0.23600000000000002,96,255,9,513,264
0.23800000000000002,97,254,9,513,263
0.24,98,253,10,512,263
0.242,98,253,10,512,263
0.244,98,253,10,512,263
0.246,99,252,10,512,262
0.248,100,251,10,512,261
0.25,100,251,10,512,261
0.252,101,250,10,512,260
0.254,101,250,10,512,260
0.256,102,249,10,512,259
0.258,105,246,10,512,256
0.26,105,246,10,512,256
0.262,106,245,10,512,255
0.264,108,243,10,512,253
0.266,108,243,10,512,253
0.268,108,243,10,512,253
0.27,110,241,10,512,251
0.272,113,238,10,512,248
0.274,113,238,11,511,249
0.276,113,238,11,511,249
0.278,115,236,12,510,248
0.28,116,235,12,510,247
0.28200000000000003,116,235,12,510,247
0.28400000000000003,116,235,13,509,248
0.28600000000000003,116,235,13,509,248
0.28800000000000003,117,234,14,508,248
0.29,117,234,14,508,248
0.292,118,233,15,507,248
0.294,120,231,15,507,246
0.296,120,231,16,506,247
0.298,123,228,17,505,245
0.3,123,228,17,505,245
0.302,123,228,18,504,246
0.304,123,228,18,504,246
0.306,123,228,18,504,246
0.308,124,227,18,504,245
0.31,125,226,18,504,244
0.312,125,226,19,503,245
0.314,128,223,19,503,242
0.316,128,223,20,502,243
0.318,130,221,21,501,242
0.32,130,221,21,501,242
0.322,130,221,21,501,242
0.324,131,220,21,501,241
0.326,131,220,21,501,241
0.328,131,220,22,500,242
0.33,132,219,22,500,241
0.332,132,219,23,499,242
0.334,135,216,23,499,239
0.336,137,214,24,498,238
0.338,138,213,24,498,237
0.34,139,212,24,498,236
0.342,139,212,24,498,236
0.34400000000000003,139,212,25,497,237
0.34600000000000003,139,212,26,496,238
0.34800000000000003,139,212,26,496,238
0.35000000000000003,141,210,27,495,237
0.352,142,209,28,494,237
0.354,142,209,29,493,238
0.356,142,209,29,493,238
0.358,143,208,29,493,237
0.36,143,208,29,493,237
0.362,145,206,29,493,235
0.364,145,206,30,492,236
0.366,146,205,31,491,236
0.368,147,204,31,491,235
0.37,147,204,31,491,235
0.372,148,203,32,490,235
0.374,149,202,32,490,234
0.376,150,201,32,490,233
0.378,152,199,32,490,231
0.38,153,198,32,490,230
0.382,153,198,33,489,231
0.384,156,195,34,488,229
0.386,157,194,34,488,228
0.388,157,194,34,488,228
0.39,157,194,34,488,228
0.392,160,191,35,487,226
0.394,161,190,36,486,226
0.396,161,190,37,485,227
0.398,162,189,38,484,227
0.4,164,187,38,484,225
0.402,167,184,39,483,223
0.404,168,183,40,482,223
0.406,168,183,40,482,223
0.40800000000000003,169,182,41,481,223
0.41000000000000003,170,181,42,480,223
0.41200000000000003,172,179,42,480,221
0.41400000000000003,174,177,42,480,219
0.41600000000000004,174,177,44,478,221
0.418,174,177,45,477,222
0.42,177,174,46,476,220
0.422,178,173,48,474,221
0.424,178,173,48,474,221
0.426,178,173,48,474,221
0.428,179,172,49,473,221
0.43,179,172,49,473,221
0.432,181,170,49,473,219
0.434,182,169,50,472,219
0.436,182,169,52,470,221
0.438,184,167,52,470,219
0.44,185,166,52,470,218
0.442,185,166,52,470,218
0.444,187,164,53,469,217
0.446,188,163,53,469,216
0.448,189,162,54,468,216
0.45,189,162,54,468,216
0.452,190,161,54,468,215
0.454,191,160,54,468,214
0.456,191,160,55,467,215
0.458,192,159,57,465,216
0.46,193,158,57,465,215
0.462,194,157,59,463,216
0.464,194,157,62,460,219
0.466,194,157,62,460,219
0.468,195,156,62,460,218
0.47000000000000003,197,154,62,460,216
0.47200000000000003,197,154,63,459,217
0.47400000000000003,197,154,66,456,220
0.47600000000000003,198,153,67,455,220
0.47800000000000004,198,153,69,453,222
0.48,198,153,70,452,223
0.482,199,152,71,451,223
0.484,201,150,74,448,224
0.486,204,147,75,447,222
0.488,206,145,77,445,222
0.49,206,145,77,445,222
0.492,206,145,78,444,223
0.494,207,144,79,443,223
0.496,209,142,79,443,221
0.498,210,141,80,442,221
0.5,210,141,81,441,222
0.502,211,140,82,440,222
0.504,213,138,82,440,220
0.506,213,138,82,440,220
0.508,215,136,84,438,220
0.51,215,136,87,435,223
0.512,218,133,88,434,221
0.514,218,133,90,432,223
0.516,218,133,90,432,223
0.518,220,131,91,431,222
0.52,222,129,92,430,221
0.522,224,127,94,428,221
0.524,226,125,94,428,219
0.526,227,124,95,427,219
0.528,228,123,95,427,218
0.53,229,122,95,427,217
0.532,230,121,95,427,216
0.534,234,117,96,426,213
0.536,234,117,96,426,213
0.538,234,117,99,423,216
0.54,234,117,103,419,220
0.542,235,116,105,417,221
0.544,237,114,105,417,219
0.546,238,113,106,416,219
0.548,242,109,108,414,217
0.55,242,109,108,414,217
0.552,243,108,110,412,218
0.554,243,108,111,411,219
0.556,244,107,111,411,218
0.558,246,105,115,407,220
0.56,247,104,117,405,221
0.562,250,101,121,401,222
0.5640000000000001,252,99,122,400,221
0.5660000000000001,252,99,123,399,222
0.5680000000000001,253,98,124,398,222
0.5700000000000001,255,96,125,397,221
0.5720000000000001,256,95,126,396,221
0.5740000000000001,258,93,130,392,223
0.5760000000000001,258,93,130,392,223
0.578,259,92,131,391,223
0.58,259,92,132,390,224
0.582,259,92,133,389,225
0.584,260,91,139,383,230
0.586,260,91,139,383,230
0.588,261,90,141,381,231
0.59,263,88,142,380,230
0.592,263,88,146,376,234
0.594,263,88,148,374,236
0.596,263,88,149,373,237
0.598,267,84,150,372,234
0.6,269,82,152,370,234
0.602,269,82,156,366,238
0.604,269,82,158,364,240
0.606,270,81,160,362,241
0.608,270,81,160,362,241
0.61,271,80,160,362,240
0.612,272,79,163,359,242
0.614,273,78,164,358,242
0.616,274,77,165,357,242
0.618,274,77,168,354,245
0.62,274,77,169,353,246
0.622,277,74,172,350,246
0.624,277,74,173,349,247
