thr,FP,FN,FPR,FNR,FP_plus_FN,max_FPR_FNR
0.10200000000000001,340,0,0.9686609686609686,0.0,340,0.9686609686609686
0.10400000000000001,340,0,0.9686609686609686,0.0,340,0.9686609686609686
0.106,340,0,0.9686609686609686,0.0,340,0.9686609686609686
0.108,340,0,0.9686609686609686,0.0,340,0.9686609686609686
0.11,338,0,0.9629629629629629,0.0,338,0.9629629629629629
0.112,337,0,0.9601139601139601,0.0,337,0.9601139601139601
0.114,337,0,0.9601139601139601,0.0,337,0.9601139601139601
0.116,336,0,0.9572649572649573,0.0,336,0.9572649572649573
0.11800000000000001,336,0,0.9572649572649573,0.0,336,0.9572649572649573
0.12,336,0,0.9572649572649573,0.0,336,0.9572649572649573
0.122,336,0,0.9572649572649573,0.0,336,0.9572649572649573
0.124,336,0,0.9572649572649573,0.0,336,0.9572649572649573
0.126,336,0,0.9572649572649573,0.0,336,0.9572649572649573
0.128,336,0,0.9572649572649573,0.0,336,0.9572649572649573
0.13,336,0,0.9572649572649573,0.0,336,0.9572649572649573
0.132,336,0,0.9572649572649573,0.0,336,0.9572649572649573
0.134,336,0,0.9572649572649573,0.0,336,0.9572649572649573
0.136,336,0,0.9572649572649573,0.0,336,0.9572649572649573
0.138,335,0,0.9544159544159544,0.0,335,0.9544159544159544
0.14,335,0,0.9544159544159544,0.0,335,0.9544159544159544
0.14200000000000002,335,0,0.9544159544159544,0.0,335,0.9544159544159544
0.14400000000000002,335,0,0.9544159544159544,0.0,335,0.9544159544159544
0.146,332,0,0.9458689458689459,0.0,332,0.9458689458689459
0.148,332,0,0.9458689458689459,0.0,332,0.9458689458689459
0.15,331,0,0.9430199430199431,0.0,331,0.9430199430199431
0.152,329,0,0.9373219373219374,0.0,329,0.9373219373219374
0.154,329,0,0.9373219373219374,0.0,329,0.9373219373219374
0.156,327,0,0.9316239316239316,0.0,327,0.9316239316239316
0.158,325,0,0.9259259259259259,0.0,325,0.9259259259259259
0.16,324,0,0.9230769230769231,0.0,324,0.9230769230769231
0.162,322,0,0.9173789173789174,0.0,322,0.9173789173789174
0.164,322,0,0.9173789173789174,0.0,322,0.9173789173789174
0.166,322,0,0.9173789173789174,0.0,322,0.9173789173789174
0.168,321,0,0.9145299145299145,0.0,321,0.9145299145299145
0.17,321,1,0.9145299145299145,0.0019157088122605363,322,0.9145299145299145
0.17200000000000001,320,1,0.9116809116809117,0.0019157088122605363,321,0.9116809116809117
0.17400000000000002,317,1,0.9031339031339032,0.0019157088122605363,318,0.9031339031339032
0.176,317,1,0.9031339031339032,0.0019157088122605363,318,0.9031339031339032
0.178,316,1,0.9002849002849003,0.0019157088122605363,317,0.9002849002849003
0.18,315,1,0.8974358974358975,0.0019157088122605363,316,0.8974358974358975
0.182,315,1,0.8974358974358975,0.0019157088122605363,316,0.8974358974358975
0.184,314,1,0.8945868945868946,0.0019157088122605363,315,0.8945868945868946
0.186,313,1,0.8917378917378918,0.0019157088122605363,314,0.8917378917378918
0.188,313,1,0.8917378917378918,0.0019157088122605363,314,0.8917378917378918
0.19,313,1,0.8917378917378918,0.0019157088122605363,314,0.8917378917378918
0.192,311,1,0.886039886039886,0.0019157088122605363,312,0.886039886039886
0.194,311,1,0.886039886039886,0.0019157088122605363,312,0.886039886039886
0.196,311,1,0.886039886039886,0.0019157088122605363,312,0.886039886039886
0.198,311,2,0.886039886039886,0.0038314176245210726,313,0.886039886039886
0.2,311,2,0.886039886039886,0.0038314176245210726,313,0.886039886039886
0.202,310,2,0.8831908831908832,0.0038314176245210726,312,0.8831908831908832
0.20400000000000001,310,2,0.8831908831908832,0.0038314176245210726,312,0.8831908831908832
0.20600000000000002,309,2,0.8803418803418803,0.0038314176245210726,311,0.8803418803418803
0.20800000000000002,309,2,0.8803418803418803,0.0038314176245210726,311,0.8803418803418803
0.21,309,2,0.8803418803418803,0.0038314176245210726,311,0.8803418803418803
0.212,309,2,0.8803418803418803,0.0038314176245210726,311,0.8803418803418803
0.214,309,2,0.8803418803418803,0.0038314176245210726,311,0.8803418803418803
0.216,308,3,0.8774928774928775,0.005747126436781609,311,0.8774928774928775
0.218,308,3,0.8774928774928775,0.005747126436781609,311,0.8774928774928775
0.22,308,4,0.8774928774928775,0.007662835249042145,312,0.8774928774928775
0.222,304,5,0.8660968660968661,0.009578544061302681,309,0.8660968660968661
0.224,303,5,0.8632478632478633,0.009578544061302681,308,0.8632478632478633
0.226,303,5,0.8632478632478633,0.009578544061302681,308,0.8632478632478633
0.228,301,5,0.8575498575498576,0.009578544061302681,306,0.8575498575498576
0.23,301,5,0.8575498575498576,0.009578544061302681,306,0.8575498575498576
0.232,299,5,0.8518518518518519,0.009578544061302681,304,0.8518518518518519
0.234,298,5,0.8490028490028491,0.009578544061302681,303,0.8490028490028491
0.23600000000000002,297,5,0.8461538461538461,0.009578544061302681,302,0.8461538461538461
0.23800000000000002,297,6,0.8461538461538461,0.011494252873563218,303,0.8461538461538461
0.24,294,6,0.8376068376068376,0.011494252873563218,300,0.8376068376068376
0.242,294,7,0.8376068376068376,0.013409961685823755,301,0.8376068376068376
0.244,292,7,0.8319088319088319,0.013409961685823755,299,0.8319088319088319
0.246,291,7,0.8290598290598291,0.013409961685823755,298,0.8290598290598291
0.248,289,7,0.8233618233618234,0.013409961685823755,296,0.8233618233618234
0.25,288,7,0.8205128205128205,0.013409961685823755,295,0.8205128205128205
0.252,288,7,0.8205128205128205,0.013409961685823755,295,0.8205128205128205
0.254,285,7,0.811965811965812,0.013409961685823755,292,0.811965811965812
0.256,283,7,0.8062678062678063,0.013409961685823755,290,0.8062678062678063
0.258,279,7,0.7948717948717948,0.013409961685823755,286,0.7948717948717948
0.26,278,7,0.792022792022792,0.013409961685823755,285,0.792022792022792
0.262,278,7,0.792022792022792,0.013409961685823755,285,0.792022792022792
0.264,278,7,0.792022792022792,0.013409961685823755,285,0.792022792022792
0.266,278,7,0.792022792022792,0.013409961685823755,285,0.792022792022792
0.268,277,7,0.7891737891737892,0.013409961685823755,284,0.7891737891737892
0.27,274,7,0.7806267806267806,0.013409961685823755,281,0.7806267806267806
0.272,273,7,0.7777777777777778,0.013409961685823755,280,0.7777777777777778
0.274,272,7,0.7749287749287749,0.013409961685823755,279,0.7749287749287749
0.276,272,7,0.7749287749287749,0.013409961685823755,279,0.7749287749287749
0.278,272,7,0.7749287749287749,0.013409961685823755,279,0.7749287749287749
0.28,272,7,0.7749287749287749,0.013409961685823755,279,0.7749287749287749
0.28200000000000003,272,8,0.7749287749287749,0.01532567049808429,280,0.7749287749287749
0.28400000000000003,272,8,0.7749287749287749,0.01532567049808429,280,0.7749287749287749
0.28600000000000003,271,8,0.7720797720797721,0.01532567049808429,279,0.7720797720797721
0.28800000000000003,270,9,0.7692307692307693,0.017241379310344827,279,0.7692307692307693
0.29,268,9,0.7635327635327636,0.017241379310344827,277,0.7635327635327636
0.292,267,10,0.7606837606837606,0.019157088122605363,277,0.7606837606837606
0.294,266,11,0.7578347578347578,0.0210727969348659,277,0.7578347578347578
0.296,265,11,0.7549857549857549,0.0210727969348659,276,0.7549857549857549
0.298,265,12,0.7549857549857549,0.022988505747126436,277,0.7549857549857549
0.3,263,12,0.7492877492877493,0.022988505747126436,275,0.7492877492877493
0.302,263,12,0.7492877492877493,0.022988505747126436,275,0.7492877492877493
0.304,263,12,0.7492877492877493,0.022988505747126436,275,0.7492877492877493
0.306,262,12,0.7464387464387464,0.022988505747126436,274,0.7464387464387464
0.308,262,13,0.7464387464387464,0.02490421455938697,275,0.7464387464387464
0.31,261,13,0.7435897435897436,0.02490421455938697,274,0.7435897435897436
0.312,261,14,0.7435897435897436,0.02681992337164751,275,0.7435897435897436
0.314,258,14,0.7350427350427351,0.02681992337164751,272,0.7350427350427351
0.316,258,14,0.7350427350427351,0.02681992337164751,272,0.7350427350427351
0.318,254,14,0.7236467236467237,0.02681992337164751,268,0.7236467236467237
0.32,253,14,0.7207977207977208,0.02681992337164751,267,0.7207977207977208
0.322,252,14,0.717948717948718,0.02681992337164751,266,0.717948717948718
0.324,251,14,0.7150997150997151,0.02681992337164751,265,0.7150997150997151
0.326,250,15,0.7122507122507122,0.028735632183908046,265,0.7122507122507122
0.328,249,15,0.7094017094017094,0.028735632183908046,264,0.7094017094017094
0.33,249,16,0.7094017094017094,0.03065134099616858,265,0.7094017094017094
0.332,248,17,0.7065527065527065,0.032567049808429116,265,0.7065527065527065
0.334,246,18,0.7008547008547008,0.034482758620689655,264,0.7008547008547008
0.336,245,18,0.698005698005698,0.034482758620689655,263,0.698005698005698
0.338,243,20,0.6923076923076923,0.038314176245210725,263,0.6923076923076923
0.34,240,20,0.6837606837606838,0.038314176245210725,260,0.6837606837606838
0.342,238,20,0.6780626780626781,0.038314176245210725,258,0.6780626780626781
0.34400000000000003,238,21,0.6780626780626781,0.040229885057471264,259,0.6780626780626781
0.34600000000000003,236,21,0.6723646723646723,0.040229885057471264,257,0.6723646723646723
0.34800000000000003,234,21,0.6666666666666666,0.040229885057471264,255,0.6666666666666666
0.35000000000000003,233,21,0.6638176638176638,0.040229885057471264,254,0.6638176638176638
0.352,231,21,0.6581196581196581,0.040229885057471264,252,0.6581196581196581
0.354,230,21,0.6552706552706553,0.040229885057471264,251,0.6552706552706553
0.356,230,22,0.6552706552706553,0.0421455938697318,252,0.6552706552706553
0.358,230,22,0.6552706552706553,0.0421455938697318,252,0.6552706552706553
0.36,230,22,0.6552706552706553,0.0421455938697318,252,0.6552706552706553
0.362,229,22,0.6524216524216524,0.0421455938697318,251,0.6524216524216524
0.364,224,23,0.6381766381766382,0.044061302681992334,247,0.6381766381766382
0.366,223,23,0.6353276353276354,0.044061302681992334,246,0.6353276353276354
0.368,221,23,0.6296296296296297,0.044061302681992334,244,0.6296296296296297
0.37,219,24,0.6239316239316239,0.04597701149425287,243,0.6239316239316239
0.372,218,24,0.6210826210826211,0.04597701149425287,242,0.6210826210826211
0.374,216,24,0.6153846153846154,0.04597701149425287,240,0.6153846153846154
0.376,216,24,0.6153846153846154,0.04597701149425287,240,0.6153846153846154
0.378,216,24,0.6153846153846154,0.04597701149425287,240,0.6153846153846154
0.38,215,25,0.6125356125356125,0.04789272030651341,240,0.6125356125356125
0.382,215,25,0.6125356125356125,0.04789272030651341,240,0.6125356125356125
0.384,213,26,0.6068376068376068,0.04980842911877394,239,0.6068376068376068
0.386,212,26,0.603988603988604,0.04980842911877394,238,0.603988603988604
0.388,212,26,0.603988603988604,0.04980842911877394,238,0.603988603988604
0.39,211,26,0.6011396011396012,0.04980842911877394,237,0.6011396011396012
0.392,211,27,0.6011396011396012,0.05172413793103448,238,0.6011396011396012
0.394,210,27,0.5982905982905983,0.05172413793103448,237,0.5982905982905983
0.396,209,28,0.5954415954415955,0.05363984674329502,237,0.5954415954415955
0.398,209,28,0.5954415954415955,0.05363984674329502,237,0.5954415954415955
0.4,206,29,0.5868945868945868,0.05555555555555555,235,0.5868945868945868
0.402,206,29,0.5868945868945868,0.05555555555555555,235,0.5868945868945868
